,Track ID,Subgenre,Slice,Chroma,RMS,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Zero Crossing Rate,MFCC,Harmony,Tempo
0,2XHG1C3ksw9EAclBFDYZ2M,Black,1,0.5759883,0.17943145,67744.48437878062,34383.63455650233,234146.3088875012,0.1351053578022531,1725.6577,0.016811915,69.83741554054055
1,2XHG1C3ksw9EAclBFDYZ2M,Black,2,0.5930009,0.18180938,56604.16653472541,22658.03169155143,190416.3369541712,0.1352989542855874,1735.5298,0.016780932,79.50721153846153
2,2XHG1C3ksw9EAclBFDYZ2M,Black,3,0.58570856,0.17984633,51106.12394225579,20837.70057852509,183072.0747605652,0.1359008123021623,1744.0867,0.016958134,107.666015625
3,2XHG1C3ksw9EAclBFDYZ2M,Black,4,0.61226976,0.18054725,59871.36895174255,35544.92341418643,249520.77841915467,0.1352784753732534,1797.3605,0.016526416,166.70866935483872
4,2XHG1C3ksw9EAclBFDYZ2M,Black,5,0.59171844,0.1831483,60993.05324235382,23998.42862297346,239869.0676981032,0.1367517480397984,1715.8298,0.017684957,151.99908088235293
5,2XHG1C3ksw9EAclBFDYZ2M,Black,6,0.6011243,0.18190539,45937.13019946976,25930.104419338688,212384.7433612676,0.1395786688900404,1771.0048,0.016672824,156.60511363636363
6,2XHG1C3ksw9EAclBFDYZ2M,Black,7,0.5882331,0.18379389,57079.1695744796,25874.591034853976,223459.5860370499,0.1379288957750247,1715.3145,0.018256474,107.666015625
7,2XHG1C3ksw9EAclBFDYZ2M,Black,8,0.61038446,0.18256694,63352.53423939597,26927.491995925902,246848.78501292996,0.1386633109887159,1778.8348,0.016622087,107.666015625
8,2XHG1C3ksw9EAclBFDYZ2M,Black,9,0.60075253,0.17651397,67089.95751821256,19939.707168655885,215934.412137708,0.1417676502042453,1746.1228,0.015788382,161.4990234375
9,4iUIdBdb4Y3KgJb6bT1itj,Black,1,0.54029864,0.3447046,55650.00761263495,84207.6506303125,136812.10720669714,0.035982441200919,2488.4338,0.06576125,109.9567819148936
10,4iUIdBdb4Y3KgJb6bT1itj,Black,2,0.5608033,0.34972414,74546.94755643957,90503.56762693926,316700.7862131468,0.0393747415311011,2439.927,0.060148973,135.99917763157896
11,4iUIdBdb4Y3KgJb6bT1itj,Black,3,0.54367524,0.34266838,33901.74535130441,49105.05133525699,73212.41004336394,0.0444099929158897,2284.1162,0.06522206,132.51201923076923
12,4iUIdBdb4Y3KgJb6bT1itj,Black,4,0.5567684,0.34749973,28308.06444111996,38004.28565190485,66647.29301279873,0.0415472336385237,2375.2568,0.061269496,129.19921875
13,4iUIdBdb4Y3KgJb6bT1itj,Black,5,0.5996118,0.34965152,35756.3121464957,58760.84146698394,86493.01695033004,0.0397508592668571,2398.4465,0.059190392,143.5546875
14,4iUIdBdb4Y3KgJb6bT1itj,Black,6,0.64369285,0.32244867,50475.96530609425,62250.87953305799,72684.96767772731,0.0401969446542873,2177.4805,0.05626156,89.10290948275862
15,4iUIdBdb4Y3KgJb6bT1itj,Black,7,0.63906366,0.3171321,55430.070063995634,61515.41551668362,85228.6340689816,0.041928655340879,2150.3618,0.055278037,132.51201923076923
16,4iUIdBdb4Y3KgJb6bT1itj,Black,8,0.6390455,0.31182337,48923.4841397296,51398.01846453171,70999.31068392548,0.0445214026363208,2164.4197,0.0553707,135.99917763157896
17,4iUIdBdb4Y3KgJb6bT1itj,Black,9,0.6528906,0.33220893,47248.74335620079,46723.86937497711,66149.9657504832,0.038707095916571,2237.0918,0.0626873,132.51201923076923
18,1eD8fNbyfyXWrTLokilmEM,Black,1,0.5955018,0.23614638,58995.76323851427,65686.74378812617,161021.0325289852,0.0835081514086212,2293.4512,0.032403115,129.19921875
19,1eD8fNbyfyXWrTLokilmEM,Black,2,0.47955298,0.24931584,73175.52739064083,76639.38205278218,375012.4845528446,0.0807514091156525,2167.6975,0.040232237,99.38401442307692
20,1eD8fNbyfyXWrTLokilmEM,Black,3,0.5354804,0.2384142,38536.5798380134,48098.3991143938,107846.90289438164,0.0864892098400418,2164.527,0.03517079,63.802083333333336
21,1eD8fNbyfyXWrTLokilmEM,Black,4,0.47728363,0.24006228,35477.59687035466,47642.28239247353,98887.3807624276,0.0831988208794806,2168.652,0.03426445,123.046875
22,1eD8fNbyfyXWrTLokilmEM,Black,5,0.57306826,0.24440773,80144.49511395008,67702.74747147161,394433.3143567237,0.082271744154627,2142.4727,0.034445174,95.703125
23,1eD8fNbyfyXWrTLokilmEM,Black,6,0.5989037,0.23259321,57751.36875427949,80078.16336543199,122253.59945359937,0.0849753584457786,2633.2659,0.030238735,129.19921875
24,1eD8fNbyfyXWrTLokilmEM,Black,7,0.5120727,0.21351478,68817.59912867026,89819.07599863275,287192.0208278235,0.0652592765792865,2485.7,0.030260507,191.40625
25,1eD8fNbyfyXWrTLokilmEM,Black,8,0.5347317,0.18625842,137757.23306651055,131961.21826007415,965341.8857595364,0.0434602796867021,2824.2844,0.024379037,129.19921875
26,1eD8fNbyfyXWrTLokilmEM,Black,9,0.48891646,0.18840843,334713.9337401546,190820.3278144935,2122758.8604176803,0.0477162163233537,2743.4563,0.026383394,184.5703125
27,2Ay41NELpdSnfvMYFJbcjs,Black,1,0.5531853,0.2575113,33529.16885358497,51202.46627089151,62684.40645815598,0.1095503924725757,2354.171,0.031818714,89.10290948275862
28,2Ay41NELpdSnfvMYFJbcjs,Black,2,0.50910753,0.25764617,36367.95522266955,67193.83221467165,72714.4512891247,0.110692389409701,2383.2046,0.034542844,161.4990234375
29,2Ay41NELpdSnfvMYFJbcjs,Black,3,0.5201652,0.24936926,38209.75116299008,71912.85448745762,57397.65913749456,0.1106134577795928,2392.22,0.0338859,156.60511363636363
30,2Ay41NELpdSnfvMYFJbcjs,Black,4,0.5351849,0.2548695,54551.431453450045,90046.40684946702,123544.90058556187,0.110437363717138,2337.151,0.032461002,82.03125
31,2Ay41NELpdSnfvMYFJbcjs,Black,5,0.5374334,0.25463855,35966.45954608259,67677.93769162273,43249.473568712216,0.1096759950095846,2491.2385,0.032291982,99.38401442307692
32,2Ay41NELpdSnfvMYFJbcjs,Black,6,0.50760263,0.26111296,41111.7083076812,65689.42065159828,60366.18761629672,0.1088815568230257,2352.6868,0.035641205,156.60511363636363
33,2Ay41NELpdSnfvMYFJbcjs,Black,7,0.51387614,0.25302526,32555.34519761774,60389.22324314717,48804.64168169622,0.1092153555861995,2457.2937,0.03491799,161.4990234375
34,2Ay41NELpdSnfvMYFJbcjs,Black,8,0.53730786,0.25951383,58395.29668614711,81388.89168046787,120018.26897155117,0.1102248194946966,2348.762,0.033943936,161.4990234375
35,2Ay41NELpdSnfvMYFJbcjs,Black,9,0.5612976,0.25513196,30935.919301665257,60837.20070372454,50912.56419823411,0.1102473548183667,2408.5894,0.032203387,151.99908088235293
36,038PaU9vPDq2itJcSQrawe,Black,1,0.52890724,0.16846167,105434.34783238269,299964.7308358221,485876.3080092571,0.0183826993011148,4935.63,0.02212964,89.10290948275862
37,038PaU9vPDq2itJcSQrawe,Black,2,0.57006514,0.181589,86102.83892306025,252471.3179779524,390247.1710540849,0.0224462364272296,4827.263,0.023063198,135.99917763157896
38,038PaU9vPDq2itJcSQrawe,Black,3,0.512264,0.21293908,67480.93367282621,176491.1685059979,321279.9272640332,0.0280989418675794,4517.972,0.035477426,135.99917763157896
39,038PaU9vPDq2itJcSQrawe,Black,4,0.4895646,0.1994966,69869.68514776281,213922.123715982,338110.6040407045,0.0318751436509524,4827.1924,0.029997263,132.51201923076923
40,038PaU9vPDq2itJcSQrawe,Black,5,0.5353268,0.22215037,69882.19360391142,219786.44321566197,356235.55173880863,0.0235078763905635,5180.3716,0.040521044,135.99917763157896
41,038PaU9vPDq2itJcSQrawe,Black,6,0.5037757,0.21900822,60742.494810759694,189570.91978652545,385406.77846333146,0.0228566638195149,5210.6626,0.039430317,132.51201923076923
42,038PaU9vPDq2itJcSQrawe,Black,7,0.48618573,0.21031897,62427.590908879625,177735.63807690374,225542.7282382137,0.0253830009651863,4856.7866,0.033797927,135.99917763157896
43,038PaU9vPDq2itJcSQrawe,Black,8,0.5112963,0.22795409,95839.7726677488,241203.6172747933,345964.320177924,0.0288374571017528,4647.3,0.039096143,135.99917763157896
44,038PaU9vPDq2itJcSQrawe,Black,9,0.4862867,0.21625479,74825.89254721194,236646.6221515441,303504.23025363905,0.0276327521154025,4680.0327,0.036636848,132.51201923076923
45,3Jai674s9zQJJxsgsyRBHz,Black,1,0.5009382,0.23574823,204093.1772177709,106713.5377008233,949879.1822400033,0.0699433380474752,2163.0469,0.036842987,143.5546875
46,3Jai674s9zQJJxsgsyRBHz,Black,2,0.4796424,0.23046653,93071.89511969389,88232.56542274568,386048.7459554735,0.0668390070847735,2168.0718,0.034126483,64.599609375
47,3Jai674s9zQJJxsgsyRBHz,Black,3,0.5717411,0.23247701,275626.8130408999,130684.02527221807,1086455.4108213556,0.0705144356708137,2108.742,0.031622425,135.99917763157896
48,3Jai674s9zQJJxsgsyRBHz,Black,4,0.4584904,0.23270302,118147.35137740348,63393.06588671626,363572.0886124583,0.0689013464250628,2231.6116,0.03765069,129.19921875
49,3Jai674s9zQJJxsgsyRBHz,Black,5,0.5209981,0.24534479,143292.54325003808,99438.15495288852,753977.5850535659,0.0725687753766621,2054.9949,0.036696583,95.703125
50,3Jai674s9zQJJxsgsyRBHz,Black,6,0.6013731,0.20983802,323907.3241900007,243680.38204029316,1528805.3739235643,0.054194893379693,2234.245,0.025627198,92.28515625
51,3Jai674s9zQJJxsgsyRBHz,Black,7,0.61300904,0.26248214,278155.5462679733,298381.8585731536,1888470.947605158,0.0427143163714155,2236.8674,0.047496673,92.28515625
52,3Jai674s9zQJJxsgsyRBHz,Black,8,0.6107224,0.21831042,227953.20619176968,205975.34061410095,1311142.7005172907,0.0450239450215273,2246.539,0.03190618,67.11647727272727
53,3Jai674s9zQJJxsgsyRBHz,Black,9,0.6263053,0.2627568,335150.4038821817,332205.62003227934,2154770.89266878,0.0410596769029244,2228.4517,0.04564507,92.28515625
