Model,Accuracies,F1 Scores
Logistic Regression,"[0.12757201646090535, 0.12962962962962962, 0.12002743484224966, 0.13177762525737818, 0.11461908030199039, 0.11599176389842142, 0.13109128345916266, 0.1276595744680851, 0.13452299245024021, 0.1269732326698696, 0.13237311385459533, 0.12071330589849108, 0.12482853223593965, 0.11324639670555937, 0.11805078929306795, 0.13246396705559368, 0.12491420727522307, 0.13589567604667124, 0.1269732326698696, 0.13589567604667124, 0.1262002743484225, 0.12139917695473251, 0.12345679012345678, 0.11873713109128346, 0.11805078929306795, 0.13589567604667124, 0.13589567604667124, 0.12422786547700755, 0.1276595744680851, 0.12354152367879204]","[np.float64(0.08440700809355836), np.float64(0.08853085490117929), np.float64(0.07518027081873044), np.float64(0.08932364084755558), np.float64(0.0717769760203308), np.float64(0.0767277563582404), np.float64(0.0843007625391665), np.float64(0.0848147659143076), np.float64(0.08960823426453005), np.float64(0.08110025654233383), np.float64(0.08426106327619806), np.float64(0.08238011790477116), np.float64(0.08431693940876055), np.float64(0.07263880852680299), np.float64(0.07919291486510469), np.float64(0.0889591713281902), np.float64(0.08030899311625792), np.float64(0.08831796242137327), np.float64(0.0824786339004328), np.float64(0.08573547225500518), np.float64(0.08465769089475507), np.float64(0.08172798743474023), np.float64(0.07941653195393386), np.float64(0.07621668600594479), np.float64(0.07588352062878284), np.float64(0.08795145581501432), np.float64(0.08715050495562046), np.float64(0.07718392061425712), np.float64(0.07949273728452194), np.float64(0.08438998576082878)]"
Random Forest,"[0.19753086419753085, 0.18655692729766804, 0.17969821673525377, 0.19492107069320522, 0.182566918325326, 0.18874399450926563, 0.18462594371997254, 0.1880576527110501, 0.18874399450926563, 0.19423472889498972, 0.19478737997256515, 0.19958847736625515, 0.18724279835390947, 0.1873713109128346, 0.17089910775566233, 0.19492107069320522, 0.19492107069320522, 0.18943033630748113, 0.1880576527110501, 0.1880576527110501, 0.19958847736625515, 0.18724279835390947, 0.18930041152263374, 0.18668496911461907, 0.19423472889498972, 0.18943033630748113, 0.20178448867536034, 0.18668496911461907, 0.182566918325326, 0.18531228551818807]","[np.float64(0.11082387360661915), np.float64(0.10640959544644464), np.float64(0.09812850598859678), np.float64(0.10917581820174137), np.float64(0.10912279720199972), np.float64(0.10660050946110543), np.float64(0.10537909214054098), np.float64(0.11103113380441128), np.float64(0.10721309731394989), np.float64(0.10949531061065432), np.float64(0.10405951051801043), np.float64(0.11609894719759001), np.float64(0.1041446063914172), np.float64(0.10750711934194898), np.float64(0.09251172710707486), np.float64(0.10876481141969666), np.float64(0.11404337149761018), np.float64(0.10588433673394028), np.float64(0.11091797333096667), np.float64(0.10879491685700894), np.float64(0.11825761465374429), np.float64(0.10931810106626218), np.float64(0.10589463307427624), np.float64(0.10854055055824098), np.float64(0.10912318885506588), np.float64(0.10217289705422868), np.float64(0.11532308772197321), np.float64(0.10315770310521041), np.float64(0.10102540807335386), np.float64(0.10135711932570492)]"
k-NN,"[0.10013717421124829, 0.09602194787379972, 0.10973936899862825, 0.1029512697323267, 0.10089224433768017, 0.10844200411805079, 0.10501029512697323, 0.10501029512697323, 0.10638297872340426, 0.11324639670555937, 0.1056241426611797, 0.09876543209876543, 0.10768175582990398, 0.10226492793411118, 0.10363761153054221, 0.09951956074124914, 0.11667810569663692, 0.10775566231983527, 0.10432395332875773, 0.10089224433768017, 0.11385459533607682, 0.10699588477366255, 0.09945130315500686, 0.10706932052161977, 0.09883321894303362, 0.10020590253946465, 0.10432395332875773, 0.10020590253946465, 0.10501029512697323, 0.11324639670555937]","[np.float64(0.10648494076352148), np.float64(0.10422588539303765), np.float64(0.11833974531373792), np.float64(0.10881478316943936), np.float64(0.10747075985212706), np.float64(0.11653532506639341), np.float64(0.11245122062374942), np.float64(0.10865227514934304), np.float64(0.11361981514559924), np.float64(0.12261685800051597), np.float64(0.11136072560468278), np.float64(0.10790343996028853), np.float64(0.11464295774960583), np.float64(0.10975084075335548), np.float64(0.11331245773589338), np.float64(0.10752674422974731), np.float64(0.12244372840090174), np.float64(0.11466321823231032), np.float64(0.10959988012064223), np.float64(0.10725013959882744), np.float64(0.12169085496885369), np.float64(0.11264042977498116), np.float64(0.10909594155631205), np.float64(0.11520118913812051), np.float64(0.10396407453834425), np.float64(0.10663959567742577), np.float64(0.10984157094540072), np.float64(0.10658474939391169), np.float64(0.11158632336459119), np.float64(0.12389446677068632)]"
Naïve Bayes,"[0.1412894375857339, 0.13991769547325103, 0.13305898491083676, 0.1448181194234729, 0.14138641043239533, 0.13589567604667124, 0.13795470144131777, 0.14070006863417983, 0.13520933424845574, 0.13520933424845574, 0.13991769547325103, 0.12962962962962962, 0.13786008230452676, 0.1448181194234729, 0.1448181194234729, 0.13795470144131777, 0.14824982841455045, 0.13726835964310227, 0.1400137268359643, 0.14138641043239533, 0.1440329218106996, 0.14814814814814814, 0.1337448559670782, 0.12285518188057652, 0.1393273850377488, 0.15854495538778313, 0.15030885380919698, 0.1400137268359643, 0.13315030885380919, 0.13177762525737818]","[np.float64(0.11237023572241656), np.float64(0.1085173214993037), np.float64(0.10211573324974024), np.float64(0.10641974358831187), np.float64(0.10671409378541244), np.float64(0.10147063157580627), np.float64(0.10763595408485604), np.float64(0.10651732269478104), np.float64(0.10174792053430318), np.float64(0.10240665198313312), np.float64(0.10867471772340814), np.float64(0.09708084283024088), np.float64(0.10754579212784186), np.float64(0.10590710086116195), np.float64(0.11853613684896672), np.float64(0.10140744488521417), np.float64(0.10843349847514777), np.float64(0.10774062641158706), np.float64(0.10251352781341651), np.float64(0.11120650852308422), np.float64(0.10958062616555216), np.float64(0.11012674684035145), np.float64(0.1024762676153851), np.float64(0.09284749998271535), np.float64(0.1098444319183376), np.float64(0.12087592440129168), np.float64(0.12202999253335331), np.float64(0.10056125812192174), np.float64(0.09724889325647772), np.float64(0.09592925023368695)]"
MLP,"[0.03909465020576132, 0.04663923182441701, 0.03909465020576132, 0.048730267673301304, 0.04735758407687028, 0.04118050789293068, 0.04118050789293068, 0.045298558682223745, 0.04118050789293068, 0.04392587508579272, 0.043209876543209874, 0.04183813443072702, 0.043209876543209874, 0.041866849691146193, 0.04598490048043926, 0.04392587508579272, 0.04049416609471517, 0.041866849691146193, 0.04735758407687028, 0.04392587508579272, 0.038408779149519894, 0.043209876543209874, 0.0438957475994513, 0.043239533287577216, 0.041866849691146193, 0.04667124227865477, 0.050102951269732326, 0.03980782429649966, 0.04049416609471517, 0.04598490048043926]","[np.float64(0.007257565000216159), np.float64(0.01028616282106479), np.float64(0.006488211199622091), np.float64(0.012143453162261666), np.float64(0.010264987375587899), np.float64(0.005698685833566917), np.float64(0.008064697360394672), np.float64(0.009440915394260391), np.float64(0.006903713600910799), np.float64(0.006991301696548675), np.float64(0.007898536841386977), np.float64(0.007917415961234449), np.float64(0.007465715721152686), np.float64(0.009385867026285388), np.float64(0.00718758998346355), np.float64(0.009041484710667963), np.float64(0.00786343717891379), np.float64(0.007723378303209378), np.float64(0.011435191461378452), np.float64(0.0074075081391492366), np.float64(0.007400028628769854), np.float64(0.008717378183616575), np.float64(0.006726402994795948), np.float64(0.00807392890490963), np.float64(0.007509991672054262), np.float64(0.007317687916027822), np.float64(0.009141447473450897), np.float64(0.008749394398640397), np.float64(0.008154423443542436), np.float64(0.011995862948396427)]"
Deep,"[0.1700960219478738, 0.1700960219478738, 0.15020576131687244, 0.15020576131687244, 0.15432098765432098, 0.15432098765432098, 0.15648592999313657, 0.15648592999313657, 0.14893617021276595, 0.14893617021276595, 0.1448181194234729, 0.1448181194234729, 0.1455044612216884, 0.1455044612216884, 0.16197666437886069, 0.16197666437886069, 0.15511324639670557, 0.15511324639670557, 0.16403568977350722, 0.16403568977350722, 0.15569272976680384, 0.15569272976680384, 0.15432098765432098, 0.15432098765432098, 0.149519890260631, 0.149519890260631, 0.15854495538778313, 0.15854495538778313, 0.1400137268359643, 0.1400137268359643, 0.1695264241592313, 0.1695264241592313, 0.16472203157172272, 0.16472203157172272, 0.15991763898421413, 0.15991763898421413, 0.16266300617707619, 0.16266300617707619, 0.1633493479752917, 0.1633493479752917, 0.17078189300411523, 0.17078189300411523, 0.16255144032921812, 0.16255144032921812, 0.1598079561042524, 0.1598079561042524, 0.15099519560741248, 0.15099519560741248, 0.1578586135895676, 0.1578586135895676, 0.17089910775566233, 0.17089910775566233, 0.15991763898421413, 0.15991763898421413, 0.14619080301990392, 0.14619080301990392, 0.15374056280027454, 0.15374056280027454, 0.14275909402882636, 0.14275909402882636]","[np.float64(0.12568332740063634), np.float64(0.12183305138475499), np.float64(0.115936546944842), np.float64(0.12142813875952253), np.float64(0.11748169654852614), np.float64(0.11706936879208886), np.float64(0.11767110258299952), np.float64(0.12387678903691865), np.float64(0.13030173670829684), np.float64(0.13228063504146484), np.float64(0.13157954195040367), np.float64(0.11718590156437447), np.float64(0.12094105630058456), np.float64(0.13782886543030162), np.float64(0.09817485016838798), np.float64(0.1385452904135461), np.float64(0.12974767235924647), np.float64(0.1278705222520215), np.float64(0.13473872071844117), np.float64(0.13335256938153564), np.float64(0.13001990960142637), np.float64(0.12989020741825533), np.float64(0.1273674839991582), np.float64(0.12256285916078592), np.float64(0.12770057807281826), np.float64(0.14220704352269764), np.float64(0.13072945402643593), np.float64(0.1204845321820542), np.float64(0.11963058263998683), np.float64(0.11936943786427782)]"
